"Person_Id","Name","Gender","Known_For","Popularity","TV_Show_Name_Involved"
990393,Erin Moriarty,Female,Acting,10.419,The Boys
1372,Karl Urban,Male,Acting,8.565,The Boys
4495,Steve Carell,Male,Acting,6.828,The Office
133451,Aya Cash,Female,Acting,6.643,The Boys
11678,Rainn Wilson,Male,Acting,6.612,The Office
39189,Stephen Merchant,Male,Acting,6.129,The Office
1157294,Colby Minifie,Female,Acting,4.868,The Boys
51992,Odette Annable,Female,Acting,4.648,House
115146,Dominique McElligott,Female,Acting,4.537,The Boys
19274,Seth Rogen,Male,Acting,4.356,The Boys
1550587,Tomer Kapon,Male,Acting,4.148,The Boys
1030513,Jack Quaid,Male,Acting,4.109,The Boys
60373,Antony Starr,Male,Acting,3.89,The Boys
51856,Jenna Fischer,Female,Acting,3.836,The Office
17697,John Krasinski,Male,Acting,3.726,The Office
1461608,Karen Fukuhara,Female,Acting,3.53,The Boys
17835,Ricky Gervais,Male,Acting,3.417,The Office
41419,Hugh Laurie,Male,Acting,3.274,House
27105,Ed Helms,Male,Acting,3.125,The Office
4987,Omar Epps,Male,Acting,3.117,House
11874,Neal H. Moritz,Male,Production,2.974,The Boys
198847,Jessie T. Usher,Male,Acting,2.939,The Boys
60899,Chace Crawford,Male,Acting,2.878,The Boys
107770,B.J. Novak,Male,Acting,2.741,The Office
1221087,Dan Sterling,Male,Writing,2.701,The Office
31514,Peter Jacobson,Male,Acting,2.69,House
2692,Robert Sean Leonard,Male,Acting,2.673,House
93285,Charlyne Yi,Female,Acting,2.569,House
41422,Jesse Spencer,Male,Acting,2.528,House
9032,Bryan Singer,Male,Directing,2.344,House
229422,Nathan Mitchell,Male,Acting,2.332,The Boys
10964,Laz Alonso,Male,Acting,2.194,The Boys
1226308,Michael Schur,Male,Creator,2.188,The Office
58321,Eric Kripke,Male,Writing,2.128,The Boys
49911,Christopher Lennertz,Male,Sound,2.092,The Boys
84417,Lee Eisenberg,Male,Writing,2.039,The Office
169061,David Shore,Male,Writing,1.96,House
125167,Mindy Kaling,Female,Acting,1.711,The Office
1213125,Paul Lieberstein,Male,Writing,1.686,The Office
45543,Paul Attanasio,Male,Writing,1.641,House
1223964,Peter Blake,Male,Production,1.638,House
114407,Garrett Lerner,Male,Writing,1.62,House
1216625,Daniel Chun,Male,Writing,1.602,The Office
1216630,Greg Daniels,Male,Writing,1.53,The Office
10945,Garth Ennis,Male,Writing,1.487,The Boys
77200,Eric Dawson,Male,Production,1.4,The Boys
928595,James Weaver,Male,Production,1.4,The Boys
1225933,Philip Sgriccia,Male,Directing,1.4,The Boys
1230857,Randy Cordray,Male,Production,1.4,The Office
1533790,Ira Hurvitz,Male,Directing,1.4,House
1577074,Michael Lyle,Male,Sound,1.4,House
1220649,Jennifer Celotta,Female,Writing,1.38,The Office
1488571,Elan Soltes,Male,Visual Effects,1.38,House
1622443,Michael Baber,Male,Sound,1.38,House
2151,Amy Lippens,Female,Production,1.22,House
54734,Evan Goldberg,Male,Production,1.22,The Boys
1604955,Cathy Crandall,Male,Costume & Make-Up,1.22,House
1646234,Steve De Leon,Male,Crew,1.13,House
1604953,Jason Derlatka,Male,Sound,1.116,House
29009,Ken Kwapis,Male,Directing,1.093,The Office
56238,Jason Netter,Male,Production,1.008,The Boys
1197284,Carol Kritzer,Female,Production,0.98,The Boys
1197577,Ken F. Levin,Male,Production,0.98,The Boys
1217228,Steve Hely,Male,Writing,0.98,The Office
1616412,Alexandra Newman,Female,Production,0.98,The Boys
1708333,Stephan Szpak-Fleet,Male,Writing,0.98,The Boys
176658,Anslem Richardson,Male,Acting,0.84,The Boys
1224008,Marcy G. Kaplan,Female,Production,0.766,House
82665,Rebecca Sonnenshine,Female,Writing,0.756,The Boys
1230854,Peter Ocko,Male,Writing,0.752,The Office
41424,Katie Jacobs,Female,Production,0.728,House
1035869,Benjamin Silverman,Male,Production,0.695,The Office
58274,Howard Klein,Male,Production,0.694,The Office
71225,Michael Saltzman,Male,Production,0.694,The Boys
1229493,Aaron Shure,Male,Writing,0.694,The Office
1230858,Kent Zbornak,Male,Production,0.69,The Office
220317,Darick Robertson,Male,Acting,0.652,The Boys
84416,Gene Stupnitsky,Male,Writing,0.63,The Office
12256,Gerrit van der Meer,Male,Production,0.6,House
58922,Craig Rosenberg,Male,Writing,0.6,The Boys
75828,Hartley Gorenstein,Male,Production,0.6,The Boys
77202,Robert J. Ulrich,Male,Production,0.6,The Boys
1213567,Russel Friend,Male,Writing,0.6,House
1223966,Thomas L. Moran,Male,Writing,0.6,House
1223981,Dustin Paddock,Male,Writing,0.6,House
1225604,Warren Lieberstein,Male,Writing,0.6,The Office
1226276,Charlie Grandy,Male,Writing,0.6,The Office
1230847,Justin Spitzer,Male,Writing,0.6,The Office
1230848,Halsted Sullivan,Male,Writing,0.6,The Office
1230859,Teri Weinberg,Male,Production,0.6,The Office
1230860,Daniel Stessen,Male,Production,0.6,The Office
1493983,Jon Ehrlich,Male,Sound,0.6,House
1662084,Nick Barrucci,Male,Production,0.6,The Boys
1819393,Pavun Shetty,Male,Production,0.6,The Boys
2121901,Jackie Davis,Male,Costume & Make-Up,0.6,The Boys
2746280,Michaela Starr,Female,Production,0.6,The Boys
2765494,Gabriel Garcia,Male,Production,0.6,The Boys
